id,value,nearTokenId,createdAt
134909,86000,btc.omft.near,2025-09-01 0:02:02
134912,7450000,btc.omft.near,2025-09-01 0:05:18
134984,40000,btc.omft.near,2025-09-01 1:19:06
134998,5142580,btc.omft.near,2025-09-01 1:30:01
134999,97500,btc.omft.near,2025-09-01 1:30:01
135070,1719100,btc.omft.near,2025-09-01 2:36:51
135087,462800,btc.omft.near,2025-09-01 2:50:03
135088,91000,btc.omft.near,2025-09-01 2:50:03
135131,28000,btc.omft.near,2025-09-01 3:19:36
135132,840821,btc.omft.near,2025-09-01 3:19:36
135133,20000,btc.omft.near,2025-09-01 3:19:36
135145,59329,btc.omft.near,2025-09-01 3:30:58
135166,23000,btc.omft.near,2025-09-01 3:44:33
135208,56000,btc.omft.near,2025-09-01 4:11:31
135262,63400,btc.omft.near,2025-09-01 4:59:10
135263,63600,btc.omft.near,2025-09-01 4:59:10
135350,31280,btc.omft.near,2025-09-01 6:10:34
135381,5287146,btc.omft.near,2025-09-01 6:33:39
135407,76600,btc.omft.near,2025-09-01 6:54:05
135408,22800,btc.omft.near,2025-09-01 6:54:05
135472,68500,btc.omft.near,2025-09-01 7:43:37
135479,370000,btc.omft.near,2025-09-01 7:48:03
135497,18300,btc.omft.near,2025-09-01 7:56:49
135498,272000,btc.omft.near,2025-09-01 7:56:49
135527,15000,btc.omft.near,2025-09-01 8:12:06
135557,2432000,btc.omft.near,2025-09-01 8:26:37
135558,112000,btc.omft.near,2025-09-01 8:26:37
135568,18000,btc.omft.near,2025-09-01 8:32:45
135570,82300,btc.omft.near,2025-09-01 8:33:36
135620,66000,btc.omft.near,2025-09-01 9:00:13
135635,131000,btc.omft.near,2025-09-01 9:03:49
135786,542000,btc.omft.near,2025-09-01 10:16:11
135800,18000,btc.omft.near,2025-09-01 10:18:43
135805,19900,btc.omft.near,2025-09-01 10:20:36
135806,35175,btc.omft.near,2025-09-01 10:20:36
135846,12000,btc.omft.near,2025-09-01 10:36:11
135899,13000,btc.omft.near,2025-09-01 10:58:08
135900,91000,btc.omft.near,2025-09-01 10:58:08
135913,184000,btc.omft.near,2025-09-01 11:03:49
135979,1060000,btc.omft.near,2025-09-01 11:25:13
135980,92908078,btc.omft.near,2025-09-01 11:25:13
135981,10000,btc.omft.near,2025-09-01 11:25:13
136024,12470,btc.omft.near,2025-09-01 11:43:44
136025,99800,btc.omft.near,2025-09-01 11:43:44
136256,89100,btc.omft.near,2025-09-01 12:42:55
136319,2200000,btc.omft.near,2025-09-01 12:56:57
136320,940000,btc.omft.near,2025-09-01 12:56:57
136378,120000,btc.omft.near,2025-09-01 13:07:18
136379,12000,btc.omft.near,2025-09-01 13:07:18
136380,11000,btc.omft.near,2025-09-01 13:07:18
136381,12750,btc.omft.near,2025-09-01 13:07:18
136382,55000,btc.omft.near,2025-09-01 13:07:18
136383,20000,btc.omft.near,2025-09-01 13:07:18
136384,48600,btc.omft.near,2025-09-01 13:07:18
136459,82436,btc.omft.near,2025-09-01 13:25:42
136476,100000,btc.omft.near,2025-09-01 13:30:20
136541,5500000,btc.omft.near,2025-09-01 13:44:51
136542,20000,btc.omft.near,2025-09-01 13:44:51
136543,13000,btc.omft.near,2025-09-01 13:44:51
136544,6216609,btc.omft.near,2025-09-01 13:44:51
136545,70000,btc.omft.near,2025-09-01 13:44:51
136546,233281,btc.omft.near,2025-09-01 13:44:51
136547,144756,btc.omft.near,2025-09-01 13:44:51
136548,1000000,btc.omft.near,2025-09-01 13:44:51
136550,700000,btc.omft.near,2025-09-01 13:46:27
136551,33015,btc.omft.near,2025-09-01 13:46:27
136552,10000,btc.omft.near,2025-09-01 13:46:27
136553,20375,btc.omft.near,2025-09-01 13:46:27
136554,40000,btc.omft.near,2025-09-01 13:46:27
136555,460000,btc.omft.near,2025-09-01 13:46:27
136556,34000,btc.omft.near,2025-09-01 13:46:27
136557,29157,btc.omft.near,2025-09-01 13:46:27
136558,38268,btc.omft.near,2025-09-01 13:46:27
136559,30407,btc.omft.near,2025-09-01 13:46:27
136560,13000,btc.omft.near,2025-09-01 13:46:28
136632,46209,btc.omft.near,2025-09-01 14:09:14
136680,91126,btc.omft.near,2025-09-01 14:18:48
136681,4830000,btc.omft.near,2025-09-01 14:18:48
136682,1100000,btc.omft.near,2025-09-01 14:18:48
136683,30000,btc.omft.near,2025-09-01 14:18:48
136684,150000,btc.omft.near,2025-09-01 14:18:49
136685,10000,btc.omft.near,2025-09-01 14:18:49
136686,15069,btc.omft.near,2025-09-01 14:18:49
136687,100000,btc.omft.near,2025-09-01 14:18:49
136688,465000,btc.omft.near,2025-09-01 14:18:49
136689,10000,btc.omft.near,2025-09-01 14:18:49
136690,10000,btc.omft.near,2025-09-01 14:18:49
136691,20000,btc.omft.near,2025-09-01 14:18:49
136692,750000,btc.omft.near,2025-09-01 14:18:49
136702,3000000,btc.omft.near,2025-09-01 14:19:56
136707,6285479,btc.omft.near,2025-09-01 14:20:54
136717,63000,btc.omft.near,2025-09-01 14:24:23
136718,59000,btc.omft.near,2025-09-01 14:24:23
136719,20877,btc.omft.near,2025-09-01 14:24:23
136720,84342,btc.omft.near,2025-09-01 14:24:23
136721,2250000,btc.omft.near,2025-09-01 14:24:23
